Predictor variable,Categorical,Sample average
layer0,false,16.5764192139738
layer1,false,39.70305676855895
layer10,false,170.68558951965065
layer11,false,36.31004366812227
layer12,false,239.86026200873363
layer13,false,0.006800747986407097
layer14,false,0.013266184282851076
layer15,false,-0.01467936169295104
layer16,false,1.487772979688176
layer2,false,7.878166219553052
layer3,false,416.10043668122273
layer4,false,65.60262008733625
layer5,false,165.95633187772927
layer6,false,23.550218340611355
layer7,false,1161.7804912583797
layer8,false,0.9074235892972571
layer9,false,346.6244541484716
mask,false,16.5764192139738
