Species, X, Y
Caede, -54.507, 49.36898
Caede, -64.45, 46.233
Caede, -69.818, 43.7291
Caede, -68.231, 44.2567
Caede, -70.18, 43.74061
Caede, -81.372, 31.48
Caede, -81.085, 31.968
Caede, -80.841, 32.002
Caede, -80.694, 32.353
Caede, -78.221, 34.039
Caede, -68.979, 44.4267
Caede, -77.088, 34.647
Caede, -76.815, 34.694
Caede, -76.689, 34.694
Caede, -77.413, 34.715
Caede, -63.033, 46.05
Caede, -62.546, 46.17081
Caede, -71.619, 41.3625
Caede, -71.501, 41.37341
Caede, -71.531, 41.37721
Caede, -71.254, 41.4876
Caede, -72.926, 41.26686
Caede, -72.451, 41.279
Caede, -72.105, 41.307
Caede, -70.697, 41.3437
Caede, -69.046, 44.2175
Caede, -68.531, 44.224
Caede, -69.491, 43.8653
Caede, -66.192, 44.089
Caede, -71.045, 41.501
Caede, -71.407, 41.588
Caede, -70.593, 43.201
Caede, -70.524, 43.3422
Caede, -76.33, 37.68717
Caede, -76.41, 37.37045
Caede, -76.51, 38.02398
Caede, -76.308, 37.81964
Caede, -76.523, 38.6422
Caede, -76.512, 38.5175
Caede, -74.948, 38.9325
Caede, -76.495, 38.88219
Caede, -74.518, 39.317
Caede, -74.905, 38.9329
Caede, -60.23, 45.7337
Caede, -70.797, 42.9331
Caede, -77.887, 34.51
Caede, -70.776, 42.7162
Caede, -75.944, 36.364
Caede, -75.727, 35.69
Caede, -76.153, 35.406
Caede, -76.504, 34.876
Caede, -81.494, 31.217
Caede, -81.638, 30.919
Caede, -74.136, 40.539
Caede, -75.391, 39.3609
Caede, -74.084, 40.5734
Caede, -73.975, 40.5724
Caede, -73.605, 40.586
Caede, -73.809, 40.5833
Caede, -72.616, 40.8012
Caede, -74.059, 40.6
Caede, -70.13, 41.24641
Caede, -73.352, 41.10588
Caede, -70.298, 41.732
Caede, -71.305, 41.6722
Caede, -70.75, 42.6812
Caede, -70.939, 42.443
Caede, -70.928, 42.3208
Caede, -70.747, 42.218
Caede, -70.631, 41.9979
Caede, -64.75, 47.783
Caede, -71.367, 41.7658
Caede, -54.8, 49.667
Caede, -67.315, 44.6609
